data,dias_desde_inicio,media_NBR,std_NBR,media_NDVI,std_NDVI,pixels_validos,scene_id
2024-01-19,1304,0.5845286404980646,0.19917170096409464,0.6467121289141069,0.1769097628329245,37362580,LC09_L1TP_227072_20240119_20240119_02_T1
2024-01-27,1312,0.534831163696005,0.22592387741968512,0.6219602372858615,0.1965016359346506,40338478,LC08_L1TP_227072_20240127_20240207_02_T1
2024-02-28,1344,0.6005278115615538,0.18168660700760744,0.6558885540140698,0.19451380121733816,40668175,LC08_L1TP_227072_20240228_20240313_02_T1
2024-04-24,1400,0.6234016926068713,0.1463928281113143,0.653852751397215,0.18914547862340136,40135916,LC09_L1TP_227072_20240424_20240424_02_T1
2024-05-02,1408,0.605502731747107,0.15570636781498307,0.6437474127511624,0.18898839913854693,40252425,LC08_L1TP_227072_20240502_20240511_02_T1
2024-06-11,1448,0.48812737574924897,0.18699023416287486,0.5449594088769781,0.1797467159559335,40814065,LC09_L1TP_227072_20240611_20240611_02_T1
2024-06-19,1456,0.46303395955693133,0.18805328086714207,0.5210927054574396,0.17558616679264932,40695594,LC08_L1TP_227072_20240619_20240706_02_T1
2024-06-27,1464,0.4389443115726038,0.18341369473618763,0.47771216330414334,0.15491277970650913,31776358,LC09_L1TP_227072_20240627_20240627_02_T1
2024-07-21,1488,0.36632434069745695,0.19508043257266222,0.46039009769997746,0.1743096901341675,40682918,LC08_L1TP_227072_20240721_20240723_02_T1
2024-07-29,1496,0.356387768949751,0.1898609450398135,0.342394429887896,0.14010702409978104,40055031,LC09_L1TP_227072_20240729_20240729_02_T1
2024-08-06,1504,0.31884623225974124,0.20805867315404158,0.42264743200990607,0.16993609416881378,40674223,LC08_L1TP_227072_20240806_20240814_02_T1
2024-08-14,1512,0.29768724049916473,0.20483104588928597,0.34297781945879385,0.12546692059803724,38629539,LC09_L1TP_227072_20240814_20240814_02_T1
2024-08-22,1520,0.2884235496145295,0.2007943381757433,0.28010698831992953,0.14153430950104637,34787549,LC08_L1TP_227072_20240822_20240830_02_T1
2024-08-30,1528,0.25695846492835434,0.20054981272522107,0.32186111826906266,0.13192543247908148,40261473,LC09_L1TP_227072_20240830_20240830_02_T1
2024-09-07,1536,0.2534408502964891,0.20632237545366297,0.28099232602741325,0.1152116776464501,40629835,LC08_L1TP_227072_20240907_20240914_02_T1
2024-09-23,1552,0.26028425223937934,0.1948290935593629,0.14415314461448725,0.07704416082204839,40172261,LC08_L1TP_227072_20240923_20240928_02_T1
2024-10-01,1560,0.2195301977344383,0.23025596838445855,0.32848285151532625,0.13507496712953185,40155219,LC09_L1TP_227072_20241001_20241001_02_T1
2024-11-10,1600,0.3690450276340312,0.2791245232782037,0.5492774289696554,0.19900422253691885,40384402,LC08_L1TP_227072_20241110_20241118_02_T1
2024-12-28,1648,0.5747801070701547,0.1771949407786598,0.6501307376978268,0.18945896232088644,39661849,LC08_L1TP_227072_20241228_20250104_02_T1
2025-03-02,1712,0.6564739865570269,0.11293856383961942,0.6611232286568509,0.1758039175490688,35304435,LC08_L1TP_227072_20250302_20250311_02_T1
2025-05-13,1784,0.6495739676520734,0.10579120747025357,0.6221347720663745,0.19792865168638496,38889363,LC09_L1TP_227072_20250513_20250513_02_T1
2025-05-21,1792,0.6260487028661084,0.09982273592661625,0.5954187100849118,0.1767493108034796,35681641,LC08_L1TP_227072_20250521_20250529_02_T1
2025-06-06,1808,0.6213226739137794,0.11153180348038871,0.5923198156924545,0.18807090656412195,40332887,LC08_L1TP_227072_20250606_20250617_02_T1
2025-07-08,1840,0.5425584100823414,0.14120139375805174,0.5625638272681424,0.19060441968504074,40603427,LC08_L1TP_227072_20250708_20250715_02_T1
2025-07-16,1848,0.5092559830536821,0.14813516330842466,0.5480981648781582,0.18699582067090073,40828741,LC09_L1TP_227072_20250716_20250716_02_T1
2025-07-24,1856,0.4848588396879135,0.1522449390607538,0.5261104442349235,0.17749941371223485,40693388,LC08_L1TP_227072_20250724_20250730_02_T1
2025-08-01,1864,0.4672769152490536,0.15677840750894512,0.510206965135024,0.17245159858739914,40825101,LC09_L1TP_227072_20250801_20250801_02_T1
2025-08-09,1872,0.44410675292771135,0.1690050797693248,0.5185249041531506,0.17830048609139296,39487300,LC08_L1TP_227072_20250809_20250815_02_T1
2025-08-17,1880,0.4113816280121022,0.16862869155437063,0.4762885811862864,0.16058118664566298,32593411,LC09_L1TP_227072_20250817_20250817_02_T1
2025-08-25,1888,0.40079826581941924,0.17102728359861163,0.49719436033821496,0.15517684090142037,37644602,LC08_L1TP_227072_20250825_20250902_02_T1
2025-09-02,1896,0.4077125533434898,0.17048647801044176,0.46328357054729663,0.15278016055227034,40158317,LC09_L1TP_227072_20250902_20250902_02_T1
2025-09-10,1904,0.3901220844990421,0.17947702788924916,0.4602105659583342,0.15526204766970922,39782376,LC08_L1TP_227072_20250910_20250919_02_T1
2025-09-18,1912,0.37591230114665464,0.18695842757237394,0.4664263357587836,0.16059185632125114,38204460,LC09_L1TP_227072_20250918_20250918_02_T1
2025-09-26,1920,0.36304788089119533,0.18219726527991206,0.4697411547126802,0.16339129271472908,35669789,LC08_L1TP_227072_20250926_20251001_02_T1
